source	target	status
LOC113230	DUSP8	non_indicated
LOC113230	REEP4	non_indicated
LOC113230	SPPL2B	non_indicated
LOC113230	ZNF214	non_indicated
LOC113230	EFCAB4A	non_indicated
LOC113230	RAB26	non_indicated
DUSP8	SRC	non_indicated
REEP4	PPP2R1B	non_indicated
REEP4	HR	non_indicated
SPPL2B	PATL1	non_indicated
SPPL2B	ENGASE	non_indicated
SPPL2B	C10orf95	non_indicated
SPPL2B	ALS2CL	non_indicated
EFCAB4A	MACROD1	non_indicated
EFCAB4A	CFD	non_indicated
EFCAB4A	RNF186	non_indicated
EFCAB4A	GCAT	non_indicated
EFCAB4A	FXYD1	non_indicated
RAB26	HES6	non_indicated
RAB26	RAP1GAP	non_indicated
RAB26	WFDC1	non_indicated
ANKRD36BP2	KIAA1024	non_indicated
ANKRD36BP2	FAM46C	non_indicated
ANKRD36BP2	KIAA0125	non_indicated
ANKRD36BP2	NDUFA2	non_indicated
ANKRD36BP2	LY9	non_indicated
ANKRD36BP2	LOC96610	non_indicated
ANKRD36BP2	DENND2C	non_indicated
FAM46C	EIF2AK3	non_indicated
FAM46C	FZD3	non_indicated
FAM46C	ERLEC1	non_indicated
KIAA0125	SLC15A2	non_indicated
KIAA0125	FCRL5	non_indicated
LOC96610	CYAT1	non_indicated
SLC16A10	HAL	non_indicated
FAM214A	SPIN3	non_indicated
FAM214A	ST6GAL1	non_indicated
SPIN3	MORN4	non_indicated
SPIN3	ZNF678	non_indicated
ST6GAL1	SLC15A2	non_indicated
ST6GAL1	LOC100506029	non_indicated
ST6GAL1	DAPK2	non_indicated
ST6GAL1	PKIA	non_indicated
ST6GAL1	RBM38	non_indicated
ST6GAL1	LDHB	non_indicated
UBE2T	DIAPH3	non_indicated
UBE2T	CENPW	non_indicated
UBE2T	POLE2	non_indicated
UBE2T	TMEM48	non_indicated
UBE2T	RPAIN	non_indicated
UBE2T	TYMS	non_indicated
UBE2T	FSBP	non_indicated
DIAPH3	KIAA0101	non_indicated
CENPW	LOC284889	non_indicated
CENPW	RNASEH2A	non_indicated
POLE2	RFC3	non_indicated
POLE2	CHEK1	non_indicated
TMEM48	AGPS	non_indicated
RPAIN	RABGGTB	non_indicated
RPAIN	C15orf24	non_indicated
RPAIN	EEF1E1	non_indicated
RPAIN	WDR61	non_indicated
RPAIN	ZHX2	non_indicated
RPAIN	C1QBP	non_indicated
CNKSR3	PCK1	non_indicated
CNKSR3	LPIN2	non_indicated
PCK1	CDKN2B-AS1	non_indicated
PCK1	C1orf21	non_indicated
PCK1	ZSWIM5	non_indicated
PCK1	ISX	non_indicated
ACSS2	NR2F6	non_indicated
ACSS2	CDX2	non_indicated
ACSS2	NOS1AP	non_indicated
NR2F6	A2MP1	non_indicated
CDX2	TPRN	non_indicated
CDX2	GNA11	non_indicated
TMEM133	NT5E	non_indicated
TMEM133	LGALSL	non_indicated
TMEM133	ARHGAP42	non_indicated
RBBP4	DMAP1	non_indicated
RBBP4	DCAF7	non_indicated
DMAP1	ZNF213	non_indicated
DMAP1	LIN37	non_indicated
DMAP1	CCDC137	non_indicated
DMAP1	FAM98C	non_indicated
CXorf24	NHLRC3	non_indicated
NHLRC3	ZNF302	non_indicated
NHLRC3	MCM3AP-AS1	non_indicated
TUG1	SYNE2	non_indicated
TUG1	PRKCI	non_indicated
TUG1	KIAA1147	non_indicated
TUG1	SREK1	non_indicated
PRKCI	RFWD2	non_indicated
PRKCI	LPP	non_indicated
SREK1	SCAF11	non_indicated
SLC35F5	IL13RA1	non_indicated
GJB3	DMKN	non_indicated
GJB3	TRIM7	non_indicated
DHRS7	TMED4	non_indicated
DHRS7	PRKAG2	non_indicated
TMED4	MALL	non_indicated
PRKAG2	APOE	non_indicated
PALLD	TTL	non_indicated
PALLD	MACF1	non_indicated
PALLD	RNF145	non_indicated
PALLD	ATG4B	non_indicated
MACF1	FLT1	non_indicated
MACF1	UBR1	non_indicated
RNF145	SLC39A6	non_indicated
RNF145	VMP1	non_indicated
ATG4B	ARAF	non_indicated
SLC30A4	SLC1A1	non_indicated
SLC30A4	KCTD3	non_indicated
SLC30A4	TRIP6	non_indicated
SLC30A4	PRKAB2	non_indicated
SLC30A4	DDHD2	non_indicated
SLC30A4	GDPD1	non_indicated
SLC1A1	GLS	non_indicated
SLC1A1	GRB14	non_indicated
SLC1A1	DEPDC7	non_indicated
SLC1A1	FAM13A	non_indicated
SLC1A1	SI	non_indicated
KCTD3	DUS2L	non_indicated
KCTD3	ACBD5	non_indicated
KCTD3	CHAC1	non_indicated
KCTD3	SLC25A51	non_indicated
KCTD3	PGAP1	non_indicated
KCTD3	CDC14B	non_indicated
KCTD3	NT5DC1	non_indicated
KCTD3	C6orf170	non_indicated
DDHD2	CCR10	non_indicated
DDHD2	ZCCHC14	non_indicated
GDPD1	SRD5A1	non_indicated
GDPD1	TMEM116	non_indicated
RAB7A	ARF1	non_indicated
RAB7A	PARP10	non_indicated
RAB7A	SLFN13	non_indicated
RAB7A	PTENP1	non_indicated
RAB7A	RPAIN	non_indicated
RAB7A	CAB39	non_indicated
ARF1	C1orf144	non_indicated
ARF1	ANKRD12	non_indicated
ARF1	SFT2D1	non_indicated
ARF1	CTNNA1	non_indicated
PARP10	SYCE1L	non_indicated
PARP10	ROBO3	non_indicated
PARP10	ARHGAP4	non_indicated
PTENP1	COL4A3BP	non_indicated
PTENP1	NISCH	non_indicated
PTENP1	MRPL4	non_indicated
CCR3	CLC	non_indicated
CLC	PRSS33	non_indicated
CLC	GPR82	non_indicated
IL18RAP	GADD45B	non_indicated
IL18RAP	SH2D2A	non_indicated
IL18RAP	SYTL3	non_indicated
GADD45B	NFIL3	non_indicated
DCXR	DPM3	non_indicated
CREBZF	MCM9	non_indicated
MCM9	ASF1A	non_indicated
MCM9	CYHR1	non_indicated
C8orf82	LOC100506125	non_indicated
C8orf82	ZNF688	non_indicated
ZNF688	TBC1D22A	non_indicated
ZNF688	TMEM178A	non_indicated
ZNF688	LIN7B	non_indicated
KIF21A	ERAP1	non_indicated
KIF21A	ESF1	non_indicated
KIF21A	NAA35	non_indicated
ESF1	NUCKS1	non_indicated
DHX35	MTFMT	non_indicated
DHX35	C1orf21	non_indicated
DHX35	MED31	non_indicated
MTFMT	API5	non_indicated
GLCCI1	E2F5	non_indicated
GLCCI1	ITM2A	non_indicated
GLCCI1	HSPA13	non_indicated
GLCCI1	PKHD1L1	non_indicated
GLCCI1	ZDBF2	non_indicated
GLCCI1	MANEA	non_indicated
GLCCI1	FAM122C	non_indicated
E2F5	SLAIN1	non_indicated
E2F5	ZNF215	non_indicated
HSPA13	FNDC3B	non_indicated
HSPA13	ATP10D	non_indicated
HSPA13	ELL2	non_indicated
HSPA13	XBP1	non_indicated
MANEA	RHOV	non_indicated
TMEM71	NLRP3	non_indicated
TMEM71	F5	non_indicated
RIF1	PRKRA	non_indicated
RIF1	CCDC18	non_indicated
PRKRA	PBRM1	non_indicated
DDX24	KIAA0100	non_indicated
DDX24	SRRM2	non_indicated
DDX24	TPP2	non_indicated
DDX24	SMC1A	non_indicated
DDX24	CCNK	non_indicated
DDX24	AGBL3	non_indicated
DDX24	PPFIBP1	non_indicated
KIAA0100	EHBP1	non_indicated
KIAA0100	IPO8	non_indicated
KIAA0100	AP5M1	non_indicated
SRRM2	LOC100506032	non_indicated
TPP2	YLPM1	non_indicated
TPP2	ERAP1	non_indicated
CCNK	SPTBN1	non_indicated
CCNK	LARP4	non_indicated
CCNK	DNAJC13	non_indicated
CCNK	HERC2P7	non_indicated
CCNK	AFF1	non_indicated
CCNK	ZBTB38	non_indicated
CCNK	SLC25A13	non_indicated
CCNK	DYNC1H1	non_indicated
CCNK	ELF1	non_indicated
AGBL3	PAN3-AS1	non_indicated
AGBL3	HSPB11	non_indicated
AGBL3	LOC100506965	non_indicated
AGBL3	LOC440944	non_indicated
LTB	CD52	non_indicated
LTB	EVL	non_indicated
LTB	LTA	non_indicated
LTB	BCAS4	non_indicated
LTB	GRAP	non_indicated
LTB	IL22RA2	non_indicated
LTB	SEMA7A	non_indicated
LTB	LOC100132999	non_indicated
CD52	CD3D	non_indicated
CD52	CD247	non_indicated
CD52	CORO1A	non_indicated
EVL	GATA3	non_indicated
EVL	PLXDC1	non_indicated
EVL	CD3E	non_indicated
EVL	PVRIG	non_indicated
EVL	FAM179A	non_indicated
BCAS4	ZFP82	non_indicated
LOC100132999	FAM91A2	non_indicated
GPR161	KIF26A	non_indicated
GPR161	SLC7A2	non_indicated
GPR161	CRNDE	non_indicated
GPR161	HDGFRP3	non_indicated
GPR161	USP13	non_indicated
GPR161	COPZ2	non_indicated
SLC7A2	PIEZO2	non_indicated
CRNDE	MPP3	non_indicated
HDGFRP3	C8orf42	non_indicated
HDGFRP3	AMPD3	non_indicated
HDGFRP3	CLCA2	non_indicated
COPZ2	TSPAN5	non_indicated
COPZ2	SH3RF3	non_indicated
PRKAA1	MRPL19	non_indicated
ASPN	FBLN1	non_indicated
ASPN	HMCN1	non_indicated
ASPN	CCBE1	non_indicated
ASPN	TMEM136	non_indicated
FBLN1	LRRC17	non_indicated
TMEM136	CCDC50	non_indicated
TMEM136	NINL	non_indicated
TMEM136	EMCN	non_indicated
CDK19	PLOD2	non_indicated
HMMR	KIF14	non_indicated
HMMR	NEIL3	non_indicated
HMMR	OXCT1	non_indicated
HMMR	C2orf18	non_indicated
HMMR	DEPDC1	non_indicated
KIF14	TMEM237	non_indicated
C2orf18	FAM54A	non_indicated
C2orf18	PMCH	non_indicated
C2orf18	MAD2L1	non_indicated
C2orf18	FAM72A	non_indicated
C2orf18	FAM83D	non_indicated
LPAR6	AXL	non_indicated
ATG9A	MBOAT7	non_indicated
SLC17A9	SYTL1	non_indicated
SLC17A9	ARMC9	non_indicated
SLC17A9	ZYG11A	non_indicated
SYTL1	MIA	non_indicated
MUC3A	MEF2C	non_indicated
MEF2C	RASGRP3	non_indicated
MEF2C	SETBP1	non_indicated
MEF2C	RASA3	non_indicated
MEF2C	ZC2HC1A	non_indicated
CREB5	SNCA	non_indicated
CREB5	NRCAM	non_indicated
NRCAM	AOX1	non_indicated
CD1C	ABCB4	non_indicated
CD1C	CCL22	non_indicated
CCL22	LOC645638	non_indicated
CCL22	CD83	non_indicated
ITFG2	IFT27	non_indicated
TBC1D9B	ZNF642	non_indicated
PLAC2	AMACR	non_indicated
PLAC2	SHROOM2	non_indicated
PLAC2	TIGD6	non_indicated
AMACR	SLC45A2	non_indicated
AMACR	RAB40B	non_indicated
AMACR	LHX4	non_indicated
AMACR	C5orf63	non_indicated
AMACR	FTH1	non_indicated
AMACR	HIST1H3H	non_indicated
LAMB2	LAMA5	non_indicated
LAMB2	DNM1	non_indicated
LAMB2	FAM212B	non_indicated
LAMB2	TENC1	non_indicated
LAMB2	PCDH12	non_indicated
LAMA5	TGFB1I1	non_indicated
LAMA5	CLEC11A	non_indicated
DNM1	CCDC3	non_indicated
DHRS11	TECPR2	non_indicated
DHRS11	CNGA1	non_indicated
DHRS11	COL14A1	non_indicated
DHRS11	TMEM158	non_indicated
DHRS11	PDXP	non_indicated
DHRS11	RUNDC3B	non_indicated
DHRS11	PCDH17	non_indicated
COL14A1	VGLL3	non_indicated
COL14A1	DSEL	non_indicated
COL14A1	PDE1C	non_indicated
COL14A1	CEP112	non_indicated
TMEM158	ZNF618	non_indicated
TMEM158	SERPINH1	non_indicated
RUNDC3B	MMP7	non_indicated
RUNDC3B	MAP7D2	non_indicated
RUNDC3B	ADCY9	non_indicated
RUNDC3B	SLC19A3	non_indicated
PCDH17	CBX4	non_indicated
PCDH17	ADAMTS9	non_indicated
PCDH17	APLNR	non_indicated
PCDH17	STC2	non_indicated
BPNT1	CCL14	non_indicated
BPNT1	ACADM	non_indicated
ACADM	TMEM63A	non_indicated
AGMAT	BPNT1	non_indicated
AGMAT	SLC27A2	non_indicated
BMP1	MEGF8	non_indicated
BMP1	SLC45A4	non_indicated
LDLRAD3	SERPINE2	non_indicated
LDLRAD3	AQP3	non_indicated
SLC39A5	HSD17B3	non_indicated
SLC39A5	KIF12	non_indicated
SLC39A5	ITFG3	non_indicated
SLC39A5	CATSPER2	non_indicated
SLC39A5	PPP1R16A	non_indicated
SLC39A5	KLKB1	non_indicated
SLC39A5	PAPSS1	non_indicated
SLC39A5	RCN3	non_indicated
SLC39A5	CLDN15	non_indicated
SLC39A5	C9orf24	non_indicated
SLC39A5	CORO1C	non_indicated
SLC39A5	EMILIN3	non_indicated
SLC39A5	C11orf52	non_indicated
SLC39A5	CACNA2D4	non_indicated
SLC39A5	ANO10	non_indicated
SLC39A5	EPS8L2	non_indicated
SLC39A5	KCNG1	non_indicated
SLC39A5	CDKN2AIPNL	non_indicated
SLC39A5	ULK3	non_indicated
SLC39A5	MST1P9	non_indicated
SLC39A5	C10orf116	non_indicated
SLC39A5	INPP5J	non_indicated
SLC39A5	DHRS1	non_indicated
SLC39A5	PDK2	non_indicated
CATSPER2	SHPK	non_indicated
CATSPER2	KIAA0664L3	non_indicated
PPP1R16A	CDHR5	non_indicated
PPP1R16A	GFER	non_indicated
PPP1R16A	STOML1	non_indicated
PPP1R16A	ROGDI	non_indicated
PPP1R16A	FER	non_indicated
CLDN15	S100P	non_indicated
CLDN15	ESPL1	non_indicated
CLDN15	BEX1	non_indicated
CORO1C	PCSK1N	non_indicated
CORO1C	GPRIN2	non_indicated
CORO1C	RORC	non_indicated
C11orf52	LOC100505908	non_indicated
C11orf52	FAM132A	non_indicated
C11orf52	LOC153546	non_indicated
CACNA2D4	ACTG1P4	non_indicated
CACNA2D4	FCGRT	non_indicated
CACNA2D4	LBX2-AS1	non_indicated
CACNA2D4	ABHD15	non_indicated
ANO10	ACADS	non_indicated
EPS8L2	EVPL	non_indicated
EPS8L2	SEMA3B	non_indicated
EPS8L2	KAZALD1	non_indicated
EPS8L2	KIAA1609	non_indicated
EPS8L2	SGK223	non_indicated
ULK3	FAM27E3	non_indicated
ULK3	NIT1	non_indicated
ULK3	MBD1	non_indicated
ULK3	GSTT1	non_indicated
C10orf116	SLC16A14	non_indicated
C10orf116	CYP27A1	non_indicated
C10orf116	TNFSF12	non_indicated
C10orf116	CRYL1	non_indicated
C10orf116	CEACAM6	non_indicated
INPP5J	DHDH	non_indicated
INPP5J	NGEF	non_indicated
INPP5J	CRAT	non_indicated
PDK2	FAHD2A	non_indicated
PDK2	TNNC2	non_indicated
PDK2	MTHFD2	non_indicated
PDK2	ADPRHL1	non_indicated
PDK2	ACSF2	non_indicated
PDK2	TMEM80	non_indicated
PDK2	PKDCC	non_indicated
ADNP	MEX3C	non_indicated
ADNP	ZNF548	non_indicated
ADNP	PUM1	non_indicated
ADNP	HMBOX1	non_indicated
ADNP	CDC37L1	non_indicated
ADNP	MED16	non_indicated
ADNP	LOC100507557	non_indicated
ADNP	ALG10B	non_indicated
ADNP	LINC00094	non_indicated
MEX3C	ZNF280C	non_indicated
MEX3C	KLHL15	non_indicated
MEX3C	C14orf135	non_indicated
MEX3C	KBTBD8	non_indicated
PUM1	LUC7L2	non_indicated
PUM1	PRKAA1	non_indicated
PUM1	UBR5	non_indicated
PUM1	TRAF3IP1	non_indicated
PUM1	APPBP2	non_indicated
CDC37L1	KLHL7	non_indicated
MED16	PNKP	non_indicated
MED16	ITGB4	non_indicated
MED16	MTMR9	non_indicated
MED16	TSSC4	non_indicated
MED16	XAB2	non_indicated
LINC00094	NSUN4	non_indicated
LURAP1L	ASB9	non_indicated
MLL3	PRMT2	non_indicated
MLL3	ASH1L	non_indicated
MLL3	RAPGEF2	non_indicated
MLL3	ZNF12	non_indicated
PRMT2	TRMT13	non_indicated
PRMT2	RNF141	non_indicated
ASH1L	AASDH	non_indicated
ASH1L	ZNF493	non_indicated
ASH1L	AKD1	non_indicated
RAPGEF2	RYBP	non_indicated
ZNF12	VEZF1	non_indicated
ZNF12	SLC11A2	non_indicated
ZNF12	PLEKHA1	non_indicated
TK1	SPC24	non_indicated
ADCK2	KIAA1324L	non_indicated
ADCK2	LOC401052	non_indicated
ADCK2	IGSF8	non_indicated
LOC401052	PKI55	non_indicated
LOC401052	ARHGAP33	non_indicated
TRMT1	TBC1D27	non_indicated
TBC1D27	LINC00494	non_indicated
POLR3E	LOC100291323	non_indicated
POLR3E	VHL	non_indicated
VHL	PPM1K	non_indicated
VHL	MB21D1	non_indicated
VHL	NBPF10	non_indicated
VHL	CXorf56	non_indicated
GPRC5B	AGT	non_indicated
TUBAL3	DHRS11	non_indicated
TUBAL3	TINAG	non_indicated
TUBAL3	ARG2	non_indicated
TUBAL3	CDKN2AIPNL	non_indicated
TUBAL3	NR1I2	non_indicated
TUBAL3	ANKS4B	non_indicated
TUBAL3	GDPD2	non_indicated
TUBAL3	CMBL	non_indicated
TUBAL3	LOC284242	non_indicated
NR1I2	DQX1	non_indicated
ANKS4B	TMEM120A	non_indicated
ANKS4B	SLCO3A1	non_indicated
ANKS4B	PTPN3	non_indicated
ANKS4B	ABCA1	non_indicated
GDPD2	FMO5	non_indicated
GDPD2	PTPRH	non_indicated
CMBL	LOC100505633	non_indicated
CMBL	ENPP3	non_indicated
CMBL	HADH	non_indicated
CMBL	TWIST2	non_indicated
PRKD2	LMF2	non_indicated
LMF2	TOM1	non_indicated
LMF2	UBA7	non_indicated
LMF2	VPS18	non_indicated
LMF2	GAS2L1	non_indicated
LMF2	TCIRG1	non_indicated
LMF2	DPP7	non_indicated
ANKRD11	RALBP1	non_indicated
ANKRD11	GAK	non_indicated
GAK	KIAA0664	non_indicated
OBSL1	RILPL1	non_indicated
HRASLS2	RARRES3	non_indicated
RARRES3	MDK	non_indicated
RARRES3	C5orf56	non_indicated
RARRES3	RTP4	non_indicated
GRAMD1C	CNTNAP2	non_indicated
GRAMD1C	FABP3	non_indicated
GRAMD1C	GDPD1	non_indicated
GRAMD1C	PBLD	non_indicated
FABP3	TREM2	non_indicated
PBLD	SEPSECS	non_indicated
PBLD	VPS13A	non_indicated
PBLD	UGT2B17	non_indicated
PBLD	UGT2B28	non_indicated
PBLD	AIF1L	non_indicated
PBLD	EPB41L3	non_indicated
PEBP1	PEPD	non_indicated
PEBP1	ALDH18A1	non_indicated
PEBP1	GSTM4	non_indicated
PEBP1	HADHA	non_indicated
HADHA	EPOR	non_indicated
HADHA	CASK	non_indicated
HADHA	DDI2	non_indicated
TELO2	TROAP	non_indicated
GPBP1L1	BMP2K	non_indicated
BMP2K	LOC441259	non_indicated
SEMA4G	MUC3B	non_indicated
SEMA4G	OAF	non_indicated
SEMA4G	P4HTM	non_indicated
SEMA4G	TTLL6	non_indicated
SEMA4G	MST1P9	non_indicated
SEMA4G	AMN	non_indicated
MUC3B	MOSPD2	non_indicated
OAF	P2RX4	non_indicated
OAF	RNASE1	non_indicated
OAF	EPHX1	non_indicated
PKP2	KLF4	non_indicated
PKP2	TCEA2	non_indicated
PKP2	RHPN2	non_indicated
PKP2	DLAT	non_indicated
PKP2	USP53	non_indicated
PKP2	NIPAL2	non_indicated
PKP2	KDM1B	non_indicated
PKP2	GPD1L	non_indicated
PKP2	CD9	non_indicated
PKP2	RAB11A	non_indicated
PKP2	AGPS	non_indicated
PKP2	GRHL2	non_indicated
PKP2	PGGT1B	non_indicated
KLF4	BMP2	non_indicated
DLAT	PRKCI	non_indicated
DLAT	GMFB	non_indicated
DLAT	TTC30A	non_indicated
DLAT	C2orf43	non_indicated
DLAT	HMGCR	non_indicated
DLAT	AGPAT5	non_indicated
DLAT	TMEM97	non_indicated
DLAT	GFM1	non_indicated
USP53	NUDT4	non_indicated
USP53	MPZL2	non_indicated
USP53	GAS2L3	non_indicated
KDM1B	SLK	non_indicated
GPD1L	MEST	non_indicated
GPD1L	ZDHHC23	non_indicated
GPD1L	SAMD12	non_indicated
GPD1L	CMAS	non_indicated
GPD1L	NR3C2	non_indicated
GPD1L	FOXD2	non_indicated
GPD1L	SLC35D1	non_indicated
GPD1L	ARHGAP42	non_indicated
GPD1L	RSBN1L-AS1	non_indicated
CD9	DHX35	non_indicated
CD9	EXD2	non_indicated
CD9	BCKDHB	non_indicated
CD9	EMP2	non_indicated
CD9	PRRG1	non_indicated
CD9	LYRM2	non_indicated
CD9	PTP4A1	non_indicated
CD9	GTF2H2	non_indicated
CD9	NUDT6	non_indicated
CD9	RAB9A	non_indicated
CD9	ATP6V0D2	non_indicated
CD9	TRIO	non_indicated
RAB11A	GALNT3	non_indicated
RAB11A	FAM102B	non_indicated
RAB11A	SMAD5	non_indicated
RAB11A	TNPO1	non_indicated
RAB11A	UBE2D1	non_indicated
GRHL2	MLLT3	non_indicated
PGGT1B	PLAA	non_indicated
PGGT1B	TASP1	non_indicated
PGGT1B	PTP4A1	non_indicated
PGGT1B	UBXN8	non_indicated
PGGT1B	AGPAT5	non_indicated
CDHR2	IL22RA1	non_indicated
PSMB10	SPRED2	non_indicated
SPRED2	TMEM133	non_indicated
SPRED2	ATP2B1	non_indicated
LOC100128893	HCN3	non_indicated
LOC100128893	ABLIM2	non_indicated
LOC100128893	MT1F	non_indicated
LOC100128893	MLLT4-AS1	non_indicated
LOC100128893	EPHX2	non_indicated
LOC100128893	ADAMTS9	non_indicated
LOC100128893	FGFR3	non_indicated
LOC100128893	PKLR	non_indicated
LOC100128893	CHDH	non_indicated
HCN3	PKLR	non_indicated
MT1F	MT1G	non_indicated
MT1F	MT1P2	non_indicated
MLLT4-AS1	C6orf123	non_indicated
EPHX2	FAM110C	non_indicated
EPHX2	NR5A2	non_indicated
EPHX2	C14orf28	non_indicated
EPHX2	ANXA13	non_indicated
EPHX2	DHRS12	non_indicated
EPHX2	LRP8	non_indicated
EPHX2	ARHGAP32	non_indicated
FGFR3	SLC16A5	non_indicated
PKLR	PRO1804	non_indicated
PKLR	ACACB	non_indicated
CHDH	IL17RB	non_indicated
LY96	TMEM45A	non_indicated
LY96	HAVCR2	non_indicated
LY96	CTHRC1	non_indicated
LY96	CCR2	non_indicated
LY96	EVI2B	non_indicated
TMEM45A	CD109	non_indicated
TMEM45A	MAP7D2	non_indicated
HAVCR2	UBE2E2	non_indicated
HAVCR2	PLXNC1	non_indicated
HAVCR2	GPNMB	non_indicated
HAVCR2	FPR3	non_indicated
EVI2B	CRLF3	non_indicated
EVI2B	ADRB2	non_indicated
