source	interaction_type	target
FAM59B	BN	A2ML1 
FAM59B	BN	KCNJ10 
FAM59B	BN	COL5A3 
Contig47779_RC	BN	FABP6 
C11orf41	BN	KHDRBS3 
C11orf41	BN	RAB15 
C11orf41	BN	CCDC4 
C11orf41	BN	Contig30499_RC 
C11orf41	BN	KCNV1 
C11orf41	BN	MUM1L1 
C11orf41	BN	AK095543 
C11orf41	BN	DPYS 
GAS7	BN	COPG2 
Contig46677_RC	BN	AL109716 
Contig46677_RC	BN	BC037827 
Contig31905_RC	BN	D83543 
CAPG	BN	NPC2 
PHF19	BN	CYP4X1 
PHF19	BN	hCT1824065.2 
GPRC5C	BN	BTG2 
GPRC5C	BN	CDH23 
AL109781	BN	NEGR1 
AL109781	BN	Contig54544_RC 
AL109781	BN	CHRM3 
AL109781	BN	CDC42 
AL109781	BN	AK054975 
AL109781	BN	AK095761 
ATP2B2	BN	CALB1 
ATP2B2	BN	PRSS16 
ATP2B2	BN	IFI16 
ATP2B2	BN	AL832252 
GADD45B	BN	ZFP36 
GADD45B	BN	SAT1 
GADD45B	BN	Contig4595 
GADD45B	BN	THBS1 
GADD45B	BN	FOS 
GADD45B	BN	VASN 
GADD45B	BN	NM_013332 
GADD45B	BN	SNF1LK 
GADD45B	BN	FOSL2 
GADD45B	BN	CSDA 
PAIP1	BN	FAM102B 
PAIP1	BN	AL041224_RC 
PAIP1	BN	Contig41698_RC 
PAIP1	BN	STXBP5L 
VAMP2	BN	Contig46747_RC 
SPATA20	BN	EPN3 
SPATA20	BN	C1orf172 
ERBB3	BN	PLEKHH1 
ERBB3	BN	AK022043 
ERBB3	BN	AK094729 
ERBB3	BN	AL832562 
Contig39408_RC	BN	AK021439 
PALMD	BN	PROCR 
PALMD	BN	VWF 
PALMD	BN	PRSS23 
PALMD	BN	ID1 
PALMD	BN	SOX18 
GLUD2	BN	GPC5 
GLUD2	BN	SUCLG2 
GLUD2	BN	AK3 
GLUD2	BN	ATP13A4 
GLUD2	BN	SERPINE2 
MPPED1	BN	NRSN1 
MPPED1	BN	HYAL3 
MPPED1	BN	OSBPL3 
MPPED1	BN	PLCL2 
TRIM38	BN	AK027848 
Contig26081_RC	BN	Contig46595_RC 
Contig26081_RC	BN	FGD6 
Contig31928_RC	BN	Contig34605_RC 
CALD1	BN	CAV1 
CALD1	BN	RBPMS 
CALD1	BN	TMEM169 
FAM78B	BN	KIAA0513 
FAM78B	BN	KCNC2 
C9orf4	BN	AK092114 
AB002361	BN	NM_014890 
AB002361	BN	SEMA4D 
AB002361	BN	PLA2G4C 
Contig23421_RC	BN	ODZ3 
Contig23421_RC	BN	AL050175 
Contig23421_RC	BN	ZMAT4 
Contig23421_RC	BN	PAK7 
IGSF6	BN	HSS00001998 
C20orf175	BN	GPR30 
C20orf175	BN	HIGD1B 
C20orf175	BN	HSS00143687 
NPY1R	BN	PLAC2 
NPY1R	BN	hCT1642584.2 
FBXO2	BN	MRAS 
FBXO2	BN	RND2 
FBXO2	BN	SLC4A11 
FBXO2	BN	AQP6 
FBXO2	BN	MYBPH 
S100P	BN	CD177 
IL1R1	BN	BAIAP2L1 
IL1R1	BN	TFPI 
LDHA	BN	MRPL33 
LDHA	BN	SLC2A14 
LDHA	BN	hCT1970968.1 
LDHA	BN	NUDT4P1 
JUNB	BN	DUSP1 
JUNB	BN	HES1 
JUNB	BN	SNF1LK 
CAV1	BN	CAV2 
CAV1	BN	Contig8861_RC 
CAV1	BN	AF074993 
ABCB1	BN	IFI27 
ABCB1	BN	EMCN 
ABCB1	BN	SLC19A3 
Contig53080_RC	BN	CALB2 
ACTB	BN	hCT30026.3 
NM_014859	BN	AK095156 
CDH10	BN	ZNF533 
TSPAN7	BN	KCNIP1 
SPAG5	BN	TMEM81 
SPAG5	BN	HSS00348353 
SPAG5	BN	HSS00240808 
SPAG5	BN	AL831898 
ZNF238	BN	CDC42SE2 
ATBF1	BN	SIX3 
ATBF1	BN	CCDC50 
CNTN6	BN	DPP10 
ARL4C	BN	Contig32183_RC 
DNAJB1	BN	DNAJA1 
DNAJB1	BN	Contig29016_RC 
DNAJB1	BN	GDPD3 
DNAJB1	BN	HSS00335224 
CDKN1C	BN	KCNQ1OT1 
CDKN1C	BN	EFHD1 
ERC2	BN	PCLO 
ESRRG	BN	MAP9 
DUSP8	BN	Contig40251_RC 
DUSP8	BN	AF085859 
DUSP8	BN	CRTC1 
DUSP8	BN	ZBTB7A 
DUSP8	BN	CACNA1A 
CLDN18	BN	KIF26B 
Contig28383_RC	BN	Contig54540_RC 
QKI	BN	ARHGEF10 
CACNA2D3	BN	ATP6V1H 
CACNA2D3	BN	C2orf32 
CACNA2D3	BN	RNF175 
VIL2	BN	FZD8 
VIL2	BN	CDK2AP1 
NRXN1	BN	Contig42789_RC 
NRXN1	BN	CHL1 
NRXN1	BN	BAI3 
ATP6V1C1	BN	LPHN2 
ATP6V1C1	BN	ENST00000295286 
ATP6V1C1	BN	RPE 
ATP6V1C1	BN	TMEM56 
MRC1	BN	RP11-162I21.1 
MRC1	BN	XLKD1 
C6orf137	BN	NM_014859 
C6orf137	BN	KCNJ4 
C6orf137	BN	AK054755 
C6orf137	BN	TTC9B 
LAMA4	BN	Contig54847_RC 
LAMA4	BN	NM_175884 
ZFHX2	BN	Contig16329_RC 
ZFHX2	BN	ZNF226 
ASTN1	BN	NRCAM 
ASTN1	BN	ATPAF1 
ASTN1	BN	KIAA0101 
ASTN1	BN	hCT1815989.2 
PRG1	BN	Contig13480_RC 
PRG1	BN	SART2 
PRG1	BN	TES 
PRG1	BN	EDG3 
PRG1	BN	SAT1 
PRG1	BN	IRAK3 
PRG1	BN	TLR2 
PRG1	BN	PECAM1 
KALRN	BN	KIAA1409 
KALRN	BN	C5orf13 
KALRN	BN	RIMS1 
KALRN	BN	PTHR2 
EPB41L3	BN	ACTN2 
EPB41L3	BN	XM_071167 
NHLRC1	BN	CCDC87 
NHLRC1	BN	C21orf122 
Contig24986	BN	BEXL1 
PHLDB2	BN	BC038744 
AL050204	BN	EXPH5 
AL050204	BN	C1orf187 
Contig41804_RC	BN	CLIC6 
MAP4	BN	FGF1 
Contig42599_RC	BN	USP15 
Contig42599_RC	BN	SCN8A 
Contig42599_RC	BN	LPGAT1 
Contig42599_RC	BN	AF086164 
Contig42599_RC	BN	C1orf86 
Contig42599_RC	BN	hCT1782866.2 
Contig42599_RC	BN	AK090762 
FAM46A	BN	IRX3 
FAM46A	BN	Contig42328_RC 
TNNT2	BN	NM_022448 
TNNT2	BN	CYP26B1 
NM_019027	BN	BC026299 
IGLV3-21	BN	IGLL1 
Contig33579_RC	BN	BC037943 
PDLIM3	BN	AXL 
COL5A2	BN	ARL15 
COL5A2	BN	GRB14 
GATM	BN	Contig54076_RC 
KIAA1409	BN	Contig54544_RC 
KIAA1409	BN	ATP2B3 
KIAA1409	BN	SIDT1 
KIAA1409	BN	PRDM2 
KIAA1409	BN	hCT2265402 
KIAA1409	BN	AK025016 
SOS1	BN	Contig31928_RC 
SOS1	BN	Contig36385_RC 
SOS1	BN	NM_015092 
SOS1	BN	HSS00176616 
NEDD4	BN	C14orf125 
KLRC1	BN	KLRC2 
C8orf16	BN	AF035290 
C8orf16	BN	AF147426 
SHC4	BN	AK021630 
SHC4	BN	C1orf198 
SHC4	BN	SH3TC2 
SHC4	BN	AK096235 
NPC2	BN	IL13RA1 
NPC2	BN	TRIM34 
C1orf128	BN	NM_016641 
C1orf128	BN	FDPS 
C1orf128	BN	ENST00000282683 
TMEM98	BN	TMEM63A 
CD37	BN	CYTL1 
KIAA1239	BN	SATB2 
KIAA1239	BN	KCNB2 
KIAA1239	BN	AK096649 
AF052117	BN	LMO2 
AF052117	BN	ANK3 
AF052117	BN	KCNK1 
AF052117	BN	RAPGEF5 
AF052117	BN	PLP2 
AF052117	BN	Contig41698_RC 
AF052117	BN	POPDC3 
TMEM14A	BN	GTF2H3 
CAV2	BN	CD97 
CAV2	BN	TFPI2 
CFHR1P	BN	AK021858 
CFHR1P	BN	AMICA1 
PANX1	BN	YPEL5 
Contig32099_RC	BN	C17orf72 
Contig32099_RC	BN	HSS00046440 
SFN	BN	SPOCD1 
CFB	BN	TCN2 
CFB	BN	PODN 
CFB	BN	TDRD10 
CFB	BN	NDUFA4L2 
RAD54L	BN	HSS00048911 
SFRS5	BN	LAMP1 
C11orf9	BN	HSD17B3 
C11orf9	BN	OLIG2 
C11orf9	BN	AK092660 
C11orf9	BN	HSS00185615 
Contig45505_RC	BN	SUSD4 
Contig45505_RC	BN	ANKRD2 
ANK3	BN	ATP8A1 
ANK3	BN	ANKS1B 
KCNA4	BN	CDCA5 
Contig57822_RC	BN	EPS8 
Contig57822_RC	BN	CALD1 
Contig57822_RC	BN	LTBP1 
Contig57822_RC	BN	LPP 
TMEFF1	BN	ADSS 
TMEFF1	BN	OAT 
Contig15746_RC	BN	Contig16479_RC 
Contig15746_RC	BN	XM_166897 
HERC6	BN	Contig43645_RC 
HERC6	BN	MX1 
ENG	BN	SMAD6 
ENG	BN	C16orf30 
Contig43791_RC	BN	TGFB2 
Contig43791_RC	BN	SLC1A3 
SEMA3B	BN	RP5-1054A22.3 
SEMA3B	BN	COL9A3 
Contig1970_RC	BN	AFF3 
Contig1970_RC	BN	C1orf71 
Contig1970_RC	BN	RASD1 
AK001020	BN	ZBTB20 
AK001020	BN	Contig16786_RC 
AK001020	BN	Contig23404_RC 
AK001020	BN	TRPS1 
AK001020	BN	AK022351 
AK001020	BN	AK024118 
AK001020	BN	AK024106 
AK001020	BN	METTL7A 
AK001020	BN	GRAMD3 
MLXIP	BN	DKK3 
SPP1	BN	HSS00046294 
DNAJA1	BN	FKBP4 
DNAJA1	BN	DNAJB4 
DNAJA1	BN	CCNA2 
MSN	BN	RAB27A 
GBP2	BN	CFB 
CDO1	BN	DAPK1 
Contig55766_RC	BN	LRRC20 
Contig46047_RC	BN	CNTNAP4 
Contig46047_RC	BN	AF085983 
Contig46047_RC	BN	STK31 
Contig46047_RC	BN	NT5DC1 
Contig46047_RC	BN	TCBA1 
ALOX5	BN	GMFG 
ALOX5	BN	CSF3R 
ALOX5	BN	PTPRC 
Contig38388_RC	BN	TNNT1 
Contig38388_RC	BN	BC040678 
Contig38388_RC	BN	MMD2 
SATB1	BN	Contig37978_RC 
SATB1	BN	OSBPL6 
TANC2	BN	MEF2C 
TANC2	BN	PRKCE 
SALL1	BN	CA2 
SALL1	BN	DLL1 
SALL1	BN	SH3PXD2B 
FAM125B	BN	TMEM63A 
FAM125B	BN	DAAM2 
FAM125B	BN	HSS00093010 
C3orf14	BN	HSS00183094 
TF	BN	CNTNAP4 
TF	BN	RBP7 
TF	BN	ATP10B 
TF	BN	AK056534 
TF	BN	hCT1782973.2 
TF	BN	hCT2321309 
RETN	BN	HIST1H2AG 
UBE2E3	BN	YEATS4 
UBE2E3	BN	TMEM157 
UBE2E3	BN	UBE2E4P 
ARHGDIB	BN	PLCG2 
HSPA1A	BN	HSPB1 
HSPA1A	BN	CHORDC1 
HSPA1A	BN	HSS00299206 
HSPA1A	BN	HSS00142930 
TAGLN3	BN	DRP2 
TAGLN3	BN	RABGAP1L 
PRKAR2B	BN	XM_166919 
Contig21406_RC	BN	EMCN 
RAN	BN	RNF150 
CHST1	BN	ADRB1 
CHST1	BN	IER5 
CHST1	BN	GLRX 
CHST1	BN	RAB11FIP5 
BAG3	BN	HMOX1 
BAG3	BN	Contig44269_RC 
BAG3	BN	GLI2 
BAG3	BN	NEUROD6 
BAG3	BN	3-Mar
BAG3	BN	HES5 
PIPOX	BN	CLDN10 
PIPOX	BN	HES6 
SCG3	BN	TSPAN7 
SCG3	BN	AK001423 
SCG3	BN	NM_032495 
SCG3	BN	F8 
FTL	BN	hCT1648148.3 
FTL	BN	hCT2314299 
TEAD4	BN	EPHA2 
Contig40165_RC	BN	TCAP 
Contig40165_RC	BN	RAD18 
Contig52214_RC	BN	RBPMS 
Contig52214_RC	BN	GIMAP5 
Contig52214_RC	BN	TIMP3 
Contig52214_RC	BN	FOXD1 
Contig52214_RC	BN	C1orf78 
Contig52214_RC	BN	NEDD9 
Contig52214_RC	BN	PDGFRB 
ATP6V1A	BN	VDAC3 
PKIA	BN	GDF10 
CD109	BN	SLC7A11 
CD109	BN	SSPN 
CD109	BN	SPATA22 
CD109	BN	PCDHB4 
Contig38542_RC	BN	CMYA5 
Contig23338_RC	BN	Contig31127_RC 
PPP1R1C	BN	C21orf82 
HMOX1	BN	DENND2D 
HMOX1	BN	TGIF 
ERBB2	BN	RARRES2 
ERBB2	BN	PAPLN 
SIX4	BN	Contig26835_RC 
SIX4	BN	BMP4 
MORF4L2	BN	TRAPPC2 
MORF4L2	BN	EIF4A2 
GMNN	BN	BC029166 
GMNN	BN	SLC14A1 
ARMETL1	BN	Contig43527 
ARMETL1	BN	CAPN9 
ARMETL1	BN	HSS00342343 
Contig45911_RC	BN	KCNMB4 
AF038190	BN	RAE1 
ENPP2	BN	PLP1 
ENPP2	BN	RP11-35N6.1 
ENPP2	BN	CCNE2 
ENPP2	BN	FRMD4B 
ENPP2	BN	SLAIN1 
ENPP2	BN	PDE8A 
NEUROD1	BN	CNGB1 
Contig35884_RC	BN	HSS00256627 
ZBTB20	BN	Contig41762 
ZBTB20	BN	ZHX2 
PDIA6	BN	HSP90B1 
PDIA6	BN	HSPD1 
PDIA6	BN	ARMET 
DSCR1L1	BN	MAP1B 
DSCR1L1	BN	MAGEL2 
EPB49	BN	EEF1A2 
EPB49	BN	PRKAR1B 
EPB49	BN	AL713744 
EPB49	BN	FBXL16 
EPB49	BN	NM_015526 
EPB49	BN	HSS00031488 
CLIC5	BN	ART5 
STON2	BN	MRVI1 
STON2	BN	GPT2 
STON2	BN	GPR177 
STON2	BN	CGNL1 
STON2	BN	SLC14A1 
PROCR	BN	DKK2 
PROCR	BN	Contig50368 
Contig41905_RC	BN	ZFAND5 
SKAP2	BN	OLFM3 
STC1	BN	C10orf10 
AGT	BN	C10orf65 
AGT	BN	FADS1 
AGT	BN	PHKG1 
LARP6	BN	AK023748 
LARP6	BN	NRIP2 
LRRC54	BN	AF086149 
EDG1	BN	SLC25A18 
KCNJ12	BN	RAB26 
KCNJ12	BN	AK024229 
MDFI	BN	CTSZ 
Contig29807_RC	BN	OR5B3 
Contig29807_RC	BN	X69637 
Contig29807_RC	BN	XM_211174 
CENTG1	BN	PLXNA1 
CENTG1	BN	MEG3 
CENTG1	BN	KIAA1957 
CENTG1	BN	MEIS3 
CENTG1	BN	SCRT1 
CENTG1	BN	SLC25A22 
CENTG1	BN	BRUNOL5 
CENTG1	BN	LRRN6A 
CENTG1	BN	NM_024888 
PPIC	BN	TMEM45A 
PPIC	BN	PERP 
F13A1	BN	EBI2 
F13A1	BN	CLEC10A 
F13A1	BN	TGFBI 
LRRC32	BN	ELOVL7 
LRRC32	BN	STARD8 
HRASLS3	BN	VRK2 
HRASLS3	BN	CYP27A1 
LMO3	BN	RAN 
LMO3	BN	Contig43449_RC 
LMO3	BN	Contig40464_RC 
LMO3	BN	FZD3 
LMO3	BN	ABAT 
LMO3	BN	PTPLAD1 
LMO3	BN	CTNNA2 
LMO3	BN	NNT 
LMO3	BN	NM_017933 
LMO3	BN	Contig43688_RC 
LMO3	BN	DCHS2 
RGS5	BN	POPDC3 
RGS5	BN	SMOC2 
DPP8	BN	KIAA0460 
RAB7L1	BN	METTL7B 
IRF8	BN	LY86 
IRF8	BN	Contig35866_RC 
NFIL3	BN	RGS16 
NFIL3	BN	RGS2 
NFIL3	BN	SLC39A14 
NFIL3	BN	SMARCA1 
HIVEP3	BN	SPAG5 
HIVEP3	BN	CBFA2T3 
HIVEP3	BN	AF052108 
HIVEP3	BN	AASS 
HIVEP3	BN	ZNF786 
HIVEP3	BN	SIRT4 
HIVEP3	BN	AK054806 
HIVEP3	BN	HSS00004092 
HIVEP3	BN	HSS00014001 
CAPZA2	BN	B3GNT2 
CAPZA2	BN	AATK 
CBLN4	BN	EMID2 
LAT2	BN	Contig35866_RC 
LAT2	BN	CD180 
LAT2	BN	PTAFR 
LAT2	BN	RHBDF2 
LAT2	BN	CASP1 
LAT2	BN	TMC8 
LAT2	BN	AL832727 
LAT2	BN	NM_016414 
COPZ2	BN	AL137566 
COPZ2	BN	AL110206 
PDGFRA	BN	LHFPL3 
PDGFRA	BN	Contig12989_RC 
BTK	BN	CD86 
KCNJ3	BN	NM_173663 
KCNJ3	BN	NM_032435 
AL109716	BN	SLC6A6 
AL109716	BN	HSS00342647 
SEC23A	BN	KLF9 
SEC23A	BN	FAM91A2 
SEC23A	BN	IMPAD1 
SEC23A	BN	NNT 
SEC23A	BN	SEC24D 
SEC23A	BN	TM6SF1 
SEC23A	BN	NM_017910 
UPP1	BN	C10orf10 
SLITRK5	BN	ZNF365 
SLITRK5	BN	FAM19A2 
SLITRK5	BN	RNMT 
SLITRK5	BN	DMRTC1 
SLITRK5	BN	HSS00176041 
SLITRK5	BN	DDX24 
SERPINB2	BN	KIF20A 
SERPINB2	BN	AK097959 
SHC1	BN	CDKN1A 
DDX3Y	BN	PRKY 
Contig54961_RC	BN	C9orf125 
Contig54961_RC	BN	Contig43905_RC 
Contig54961_RC	BN	Contig45345_RC 
Contig54961_RC	BN	KCNJ6 
Contig54961_RC	BN	KCNT1 
Contig54961_RC	BN	MAGEE2 
NPFF	BN	AK093857 
LRPPRC	BN	AK095738 
SPAG16	BN	CYS1 
SPAG16	BN	SLC25A21 
BPI	BN	DEFA1 
QDPR	BN	IHPK3 
ICA1	BN	TDO2 
ICA1	BN	Contig38804_RC 
ICA1	BN	KIAA1086 
ICA1	BN	DOPEY2 
ICA1	BN	AK055808 
ICA1	BN	DOPEY1 
ICA1	BN	KIF9 
ICA1	BN	NDRG4 
ICA1	BN	PCYOX1L 
ICA1	BN	TARBP1 
TMSB4Y	BN	HSFY2 
Contig20427_RC	BN	HNRPU 
Contig20427_RC	BN	NM_018610 
Contig20427_RC	BN	HSS00178711 
PPAP2C	BN	QDPR 
PPAP2C	BN	ADA 
PPAP2C	BN	LRP2 
PPAP2C	BN	MYO1E 
PPAP2C	BN	SHROOM4 
PPAP2C	BN	C12orf34 
PPAP2C	BN	C16orf34 
PPAP2C	BN	USP54 
PPAP2C	BN	HSS00061243 
PPAP2C	BN	SLCO3A1 
BST2	BN	GIMAP1 
STK17B	BN	RNF182 
FZD1	BN	FRMD6 
KIRREL	BN	LRRC8C 
ADSS	BN	PDHB 
CXCR4	BN	SGCD 
SQRDL	BN	WWTR1 
Contig40464_RC	BN	GABRA2 
Contig40464_RC	BN	SPARCL1 
Contig40464_RC	BN	IGSF4D 
Contig40464_RC	BN	S73397 
MGAM	BN	CSF3R 
MGAM	BN	C19orf59 
CD44	BN	HSPB8 
CD44	BN	MATN2 
CD44	BN	3-Mar
IRS1	BN	GRM1 
IRS1	BN	TDRD9 
IRS1	BN	PDZRN3 
C5orf4	BN	HRASLS3 
C5orf4	BN	HEY2 
C5orf4	BN	NEK3 
C5orf4	BN	TST 
PON2	BN	EDG1 
PON2	BN	GRAMD1C 
PON2	BN	SPON1 
PON2	BN	IL20RA 
PICALM	BN	ENST00000296018 
AEBP1	BN	NM_033035 
AEBP1	BN	C6orf190 
FZD3	BN	SPSB1 
FZD3	BN	SLC38A1 
RBP1	BN	SARDH 
RBP1	BN	GPATC2 
CPXM2	BN	ENPP6 
PHYHIP	BN	KCNQ2 
PHYHIP	BN	PDIA2 
ITGB2	BN	CTSC 
ITGB2	BN	SAMSN1 
SLPI	BN	DEFB1 
SLPI	BN	DNASE1L3 
SLPI	BN	KLF5 
SLPI	BN	PLA2G2A 
SLPI	BN	Contig44729_RC 
SLPI	BN	GAS1 
SLPI	BN	LEPR 
SLPI	BN	FAM101A 
SLPI	BN	IGFBP6 
CUTL2	BN	SPATA20 
CUTL2	BN	EPN3 
CUTL2	BN	ADRB1 
CUTL2	BN	NM_138339 
CUTL2	BN	HAPLN4 
SART2	BN	WEE1 
SART2	BN	PCDH18 
SART2	BN	NM_032802 
EGR1	BN	EGR2 
Contig46881_RC	BN	MARCKS 
SERPINH1	BN	UPP1 
SERPINH1	BN	SHC1 
SERPINH1	BN	Contig33039_RC 
SERPINH1	BN	SERTAD1 
SERPINH1	BN	ARMET 
SERPINH1	BN	IL3RA 
SERPINH1	BN	RIT1 
SERPINH1	BN	MYCT1 
SERPINH1	BN	CCDC50 
SERPINH1	BN	MLKL 
SERPINH1	BN	HSS00006239 
SERPINH1	BN	XM_211811 
ANXA1	BN	GBP2 
ANXA1	BN	FABP4 
TMOD1	BN	AK000930 
Contig31398_RC	BN	INADL 
Contig31398_RC	BN	HSS00060399 
Contig31398_RC	BN	HSS00212078 
STAT1	BN	WARS 
TRIM59	BN	ASPA 
TRIM59	BN	DOCK10 
TRIM59	BN	CAPN13 
TRIM59	BN	HSS00136257 
NETO2	BN	NETO1 
NETO2	BN	HSS00303655 
SYNGR1	BN	EMID2 
SYNGR1	BN	XKR6 
SYNGR1	BN	SLC6A7 
Contig48014_RC	BN	SH3PXD2B 
Contig48014_RC	BN	BC014346 
Contig48014_RC	BN	AK094210 
PAK3	BN	DYNC1LI1 
PAK3	BN	DGKE 
PAK3	BN	PTPN2 
TMEM16B	BN	COLEC11 
TMEM16B	BN	hCT2286560 
ANK2	BN	ZNF238 
ANK2	BN	Contig10653_RC 
ANK2	BN	DNASE1 
ANK2	BN	ENST00000258318 
ANK2	BN	NUDT4P1 
PTPRZ1	BN	PDGFRA 
PTPRZ1	BN	EDNRB 
SEZ6L2	BN	Contig42274_RC 
SEZ6L2	BN	C1QTNF4 
SEZ6L2	BN	CDK5R2 
SEZ6L2	BN	hCT1971305.1 
AKR1C3	BN	PPIC 
AKR1C3	BN	NM_012385 
AKR1C3	BN	NQO1 
Contig54544_RC	BN	CNTN6 
Contig54544_RC	BN	ARHGEF9 
Contig54544_RC	BN	ZNF233 
Contig54544_RC	BN	AF339815 
PSCDBP	BN	CARD6 
PSCDBP	BN	AK055877 
KIAA1522	BN	ITPKA 
KIAA1522	BN	GPR153 
KIAA1522	BN	ELK1 
ADM	BN	Contig63649_RC 
ADM	BN	hCT1832239.2 
ADM	BN	hCT2270866 
ADM	BN	AL359337 
RGS7BP	BN	TSPAN5 
RGS7BP	BN	ENST00000281770 
RGS7BP	BN	AK090935 
VNN1	BN	LYZ 
VNN1	BN	AK026079 
Contig19733_RC	BN	AF085861 
Contig19733_RC	BN	AK057829 
Contig19733_RC	BN	AK057980 
Contig19733_RC	BN	AK023302 
Contig19733_RC	BN	FAM123A 
Contig19733_RC	BN	PTBP2 
FAM49B	BN	SLITRK3 
FAM49B	BN	U79257 
FAM49B	BN	AK054772 
HSPB2	BN	MRGPRF 
DCAMKL1	BN	ATP1B1 
DCAMKL1	BN	DPY19L1 
DDX25	BN	ASTN1 
DDX25	BN	Contig26837_RC 
DDX25	BN	Contig44758_RC 
DDX25	BN	F8 
DTNA	BN	TMBIM1 
DTNA	BN	BC001980 
CH25H	BN	PTGER1 
SBNO2	BN	TEAD4 
SBNO2	BN	BCL3 
SBNO2	BN	BATF 
SBNO2	BN	LDLR 
SBNO2	BN	IRF7 
SBNO2	BN	AF085978 
SBNO2	BN	AK024534 
CLIC3	BN	TMEM45B 
TMEM132B	BN	DDX25 
TMEM132B	BN	HRASLS 
TMEM132B	BN	AF086164 
TMEM132B	BN	PRDM12 
TMEM132B	BN	PLOD1 
TMEM132B	BN	C13orf1 
PCMT1	BN	PLEKHA5 
PCMT1	BN	MAGEH1 
PCMT1	BN	NLK 
PCMT1	BN	TOMM70A 
PCMT1	BN	SUCLA2 
BMP2K	BN	C6orf155 
BMP2K	BN	AK097466 
KNTC2	BN	DLG7 
KNTC2	BN	BC029479 
GMFG	BN	HK3 
CRYM	BN	KCNS2 
CRYM	BN	TCEAL2 
CRYM	BN	ATP6V1G2 
CRYM	BN	U79277 
SUSD4	BN	PCP4L1 
