Number,SMILES,IUPAC name,Name,MW
14,Cl.COC(=O)C1=C(C)NC(C)=C(C1C1=CC(=CC=C1)[N+]([O-])=O)C(=O)OCCN(C)CC1=CC=CC=C1,"3-{2-[benzyl(methyl)amino]ethyl} 5-methyl 2,6-dimethyl-4-(3-nitrophenyl)-1,4-dihydropyridine-3,5-dicarboxylate hydrochloride",Nicardipine ,516
15,FC1=CC=C(C=C1)C(CCCN1CCC(CC1)N1C(=O)NC2=C1C=CC=C2)C1=CC=C(F)C=C1,"1-{1-[4,4-bis(4-fluorophenyl)butyl]piperidin-4-yl}-2,3-dihydro-1H-1,3-benzodiazol-2-one",Pimozide,461.5
16,Cl.CN(C)C(=O)C(CCN1CCC(O)(CC1)C1=CC=C(Cl)C=C1)(C1=CC=CC=C1)C1=CC=CC=C1,"4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-N,N-dimethyl-2,2-diphenylbutanamide hydrochloride",Loperamide ,513.5
17,FC1=CC=C(C=C1)C(CCCN1CCC2(CC1)N(CNC2=O)C1=CC=CC=C1)C1=CC=C(F)C=C1,"8-[4,4-bis(4-fluorophenyl)butyl]-1-phenyl-1,3,8-triazaspiro[4.5]decan-4-one",Fluspirilene,475.6
18,CCCCNC(=O)NS(=O)(=O)C1=CC=C(C)C=C1,3-butyl-1-(4-methylbenzenesulfonyl)urea,Tolbutamide,270.3
19,CC(N\C(NC1=CC=NC=C1)=N\C#N)C(C)(C)C,"(Z)-2-cyano-1-(3,3-dimethylbutan-2-yl)-3-(pyridin-4-yl)guanidine",Pinacidil,245.3
20,CC1=CN=C(C=N1)C(=O)NCCC1=CC=C(C=C1)S(=O)(=O)NC(=O)NC1CCCCC1,N-[2-(4-{[(cyclohexylcarbamoyl)amino]sulfonyl}phenyl)ethyl]-5-methylpyrazine-2-carboxamide,Glipizide,445.5
21,CC1=CC=C(C=C1)N(CC1=NCCN1)C1=CC=CC(O)=C1,"3-[(4,5-dihydro-1H-imidazol-2-ylmethyl)(4-methylphenyl)amino]phenol",Phentolamine ,281.4
22,Cl.[H]O[H].[H]O[H].[H][C@@]12CCN(C[C@@H]1C=C)[C@@]([H])(C2)[C@H](O)C1=CC=NC2=C1C=C(OC)C=C2,"(R)-[(2S,4S,5R)-5-ethenyl-1-azabicyclo[2.2.2]octan-2-yl](6-methoxyquinolin-4-yl)methanol dihydrate hydrochloride",Quinine  2H2O,396.9
23,OC(=O)C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1,2-{[3-(trifluoromethyl)phenyl]amino}benzoic acid,Flufenamic acid,281.2
24,CCCNCC(O)COC1=C(C=CC=C1)C(=O)CCC1=CC=CC=C1,1-{2-[2-hydroxy-3-(propylamino)propoxy]phenyl}-3-phenylpropan-1-one,Propafenone,341.4
25,O=C1NC(=O)C(N1)(C1=CC=CC=C1)C1=CC=CC=C1,"5,5-diphenylimidazolidine-2,4-dione",Phenytoin,252.3
26,Cl.CCN(CC)CCNC(=O)C1=CC=C(N)C=C1,4-amino-N-[2-(diethylamino)ethyl]benzamide hydrochloride,Procainamide ,271.8
27,Cl.[H]O[H].CCN(CC)CC(=O)NC1=C(C)C=CC=C1C,"2-(diethylamino)-N-(2,6-dimethylphenyl)acetamide hydrate hydrochloride",Lidocaine  H2O,288.8
28,CC(O)=O.FC(F)(F)COC1=CC(C(=O)NCC2CCCCN2)=C(OCC(F)(F)F)C=C1,"N-(piperidin-2-ylmethyl)-2,5-bis(2,2,2-trifluoroethoxy)benzamide; acetic acid",Flecainide acetate,474.4
29,OC(=O)\C=C/C(O)=O.CN(CCOC1=CC=C(CC2SC(=O)NC2=O)C=C1)C1=CC=CC=N1,"(2Z)-but-2-enedioic acid; 5-[(4-{2-[methyl(pyridin-2-yl)amino]ethoxy}phenyl)methyl]-1,3-thiazolidine-2,4-dione",Rosiglitazone maleate,473.5
30,Cl.[H]C12CC3([H])CC([H])(C1)CC(N)(C2)C3,adamantan-1-amine hydrochloride,Amantadine ,187.7
31,Cl.CC1=C(CC2=NCCN2)C(C)=C(O)C(=C1)C(C)(C)C,"6-tert-butyl-3-(4,5-dihydro-1H-imidazol-2-ylmethyl)-2,4-dimethylphenol hydrochloride",Oxymetazoline ,296.8
32,OC(C(O)C(O)=O)C(O)=O.CC(C(O)C1CCC(O)CC1)N1CCC(CC2CCCCC2)CC1,"2,3-dihydroxybutanedioic acid; 4-{2-[4-(cyclohexylmethyl)piperidin-1-yl]-1-hydroxypropyl}cyclohexan-1-ol",Ifenprodil tartrate,487.6
33,Cl.Cl.COC1=C(C=CC=C1)N1CCN(CC(O)COC2=C3C=CC=CC3=CC=C2)CC1,1-[4-(2-methoxyphenyl)piperazin-1-yl]-3-(naphthalen-1-yloxy)propan-2-ol dihydrochloride,Naftopidil 2,465.4
34,Cl.COC1=CC2=NC(=NC(N)=C2C=C1OC)N1CCN(CC1)C(=O)C1=CC=CO1,"2-[4-(furan-2-carbonyl)piperazin-1-yl]-6,7-dimethoxyquinazolin-4-amine hydrochloride",Prazosin ,419.9
35,Cl.ClC1=CC=CC(Cl)=C1NC1=NCCN1,"N-(2,6-dichlorophenyl)-4,5-dihydro-1H-imidazol-2-amine hydrochloride",Clonidine ,266.6
36,NC(=N)N\N=C\C1=C(Cl)C=CC=C1Cl,"1-[(E)-[(2,6-dichlorophenyl)methylidene]amino]guanidine",Guanabenz,231.1
37,OP(O)(O)=O.C1CC1C(NC1=NCCO1)C1CC1,"N-(dicyclopropylmethyl)-4,5-dihydro-1,3-oxazol-2-amine; phosphoric acid",Rilmenidine phosphate,278.2
38,Cl.CC(CCC1=CC=CC=C1)NC(C)C(O)C1=CC=C(O)C=C1,4-{1-hydroxy-2-[(4-phenylbutan-2-yl)amino]propyl}phenol hydrochloride,Buphenine ,335.9
39,Cl.[H][C@@]12CC[C@H](O)[C@H](C(=O)OC)[C@@]1([H])C[C@]1([H])N(CCC3=C1NC1=CC=CC=C31)C2,"methyl (1S,15R,18S,19R,20S)-18-hydroxy-3,13-diazapentacyclo[11.8.0.0_,__.0_,_.0__,__]henicosa-2(10),4,6,8-tetraene-19-carboxylate hydrochloride",Yohimbine ,390.9
40,CS(O)(=O)=O.[H][C@@]12CCCN1C(=O)[C@H](CC1=CC=CC=C1)N1C(=O)[C@](C)(NC(=O)[C@@H]3CC4C5=C6C(C[C@@]4([H])N(C)C3)=CNC6=CC=C5)O[C@@]21O,"(4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.0_,_]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(16),9,12,14-tetraene-4-carboxamide; methanesulfonic acid",Dihydroergotamine mesylate,679.8
41,[H][C@@]12CC3=CN(C)C4=CC=CC(=C34)[C@]1(C[C@@H](COC(=O)C1=CN=CC(Br)=C1)CN2C)OC,"[(2S,4R,7R)-2-methoxy-6,11-dimethyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(16),9,12,14-tetraen-4-yl]methyl 5-bromopyridine-3-carboxylate",Nicergoline,484.4
42,NC1=NC(=O)N(C=C1F)[C@@H]1CS[C@H](CO)O1,"4-amino-5-fluoro-1-[(2R,5S)-2-(hydroxymethyl)-1,3-oxathiolan-5-yl]-1,2-dihydropyrimidin-2-one",Emtricitabine,247.2
43,Cl.CC(C)NCC(O)COC1=CC=C(CCOCC2CC2)C=C1,(3-{4-[2-(cyclopropylmethoxy)ethyl]phenoxy}-2-hydroxypropyl)(propan-2-yl)amine hydrochloride,Betaxolol ,343.9
44,CN1C=NC2=C1C(=O)N(C)C(=O)N2C,"1,3,7-trimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",Caffeine,194.2
45,OC(=O)\C=C/C(O)=O.CC(C)(C)NC[C@H](O)COC1=NSN=C1N1CCOCC1,"(2Z)-but-2-enedioic acid; tert-butyl[(2S)-2-hydroxy-3-{[4-(morpholin-4-yl)-1,2,5-thiadiazol-3-yl]oxy}propyl]amine",(S)-Timolol maleate ,432.5
46,OC(=O)\C=C\C(O)=O.OC(CNCCNC(=O)N1CCOCC1)COC1=CC=C(O)C=C1,(2E)-but-2-enedioic acid; N-(2-{[2-hydroxy-3-(4-hydroxyphenoxy)propyl]amino}ethyl)morpholine-4-carboxamide,Xamoterol hemifumarate,455.5
47,CC(C)(C)NCC(O)C1=CC(Cl)=C(N)C(Cl)=C1,"1-(4-amino-3,5-dichlorophenyl)-2-(tert-butylamino)ethan-1-ol",Clenbuterol,277.2
48,Cl.CC[C@H](NC(C)C)[C@H](O)C1=CC=C(O)C2=C1C=CC(=O)N2,"8-hydroxy-5-[(1R,2S)-1-hydroxy-2-[(propan-2-yl)amino]butyl]-1,2-dihydroquinolin-2-one hydrochloride",Procaterol ,326.8
49,OS(O)(=O)=O.CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1.CC(C)(C)NCC(O)C1=CC=C(O)C(CO)=C1,bis(4-[2-(tert-butylamino)-1-hydroxyethyl]-2-(hydroxymethyl)phenol); sulfuric acid,Salbutamol hemisulfate,576.7
50,CC(C)NCC(O)COC1=CC=CC2=C1C=CN2,[2-hydroxy-3-(1H-indol-4-yloxy)propyl](propan-2-yl)amine,Pindolol,248.3
51,CC(C)NCC(O)C1=CC(C#N)=C(N)C=C1,2-amino-5-{1-hydroxy-2-[(propan-2-yl)amino]ethyl}benzonitrile,Cimaterol,219.3
52,Cl.CC(CCC1=CC=C(O)C=C1)NCCC1=CC=C(O)C(O)=C1,"4-(2-{[4-(4-hydroxyphenyl)butan-2-yl]amino}ethyl)benzene-1,2-diol hydrochloride",Dobutamine ,337.8
53,Cl.CC(C)NCC(O)C1=CC2=C(C=CC=C2)C=C1,1-(naphthalen-2-yl)-2-[(propan-2-yl)amino]ethan-1-ol hydrochloride,Pronethalol ,265.8
54,Cl.CC(C)NCC(O)C1=CC=C(NS(C)(=O)=O)C=C1,N-(4-{1-hydroxy-2-[(propan-2-yl)amino]ethyl}phenyl)methanesulfonamide hydrochloride,Sotalol ,308.8
55,Cl.[H][C@]12CC[C@](CCCNC)(C3=C1C=CC=C3)C1=C2C=CC=C1,"methyl({3-[(1r,8r)-tetracyclo[6.6.2.0_,_.0_,__]hexadeca-2(7),3,5,9(14),10,12-hexaen-1-yl]propyl})amine hydrochloride",Maprotiline ,313.9
56,Cl.CNCCC(OC1=CC=CC=C1OC)C1=CC=CC=C1,[3-(2-methoxyphenoxy)-3-phenylpropyl](methyl)amine hydrochloride,Nisoxetine ,307.8
57,C\C(\C=C\C=C(/C)\C=C\C1=C(C)C(=O)CCC1(C)C)=C/C=C/C=C(\C)/C=C/C=C(\C)/C=C/C1=C(C)C(=O)CCC1(C)C,"2,4,4-trimethyl-3-[(1E,3E,5E,7E,9E,11E,13E,15E,17E)-3,7,12,16-tetramethyl-18-(2,6,6-trimethyl-3-oxocyclohex-1-en-1-yl)octadeca-1,3,5,7,9,11,13,15,17-nonaen-1-yl]cyclohex-2-en-1-one",Canthaxanthin,564.8
58,Cl.CC[C@H]1[C@@H](CC2=CN=CN2C)COC1=O,"(3S,4R)-3-ethyl-4-[(1-methyl-1H-imidazol-5-yl)methyl]oxolan-2-one hydrochloride",Pilocarpine ,244.7
59,[Br-].[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)[N+]2(C)C(C)C,"(1R,3S,5S)-3-[(3-hydroxy-2-phenylpropanoyl)oxy]-8-methyl-8-(propan-2-yl)-8-azabicyclo[3.2.1]octan-8-ium bromide",Ipratropium Br,412.4
60,Cl.Cl.CN1CCN(CC(=O)N2C3=C(C=CC=C3)C(=O)NC3=CC=CN=C23)CC1,"2-[2-(4-methylpiperazin-1-yl)acetyl]-2,4,9-triazatricyclo[9.4.0.0_,_]pentadeca-1(11),3,5,7,12,14-hexaen-10-one dihydrochloride",Pirenzepine 2,424.3
61,Cl.Cl.CN1CCN(CC(=O)N2C3=C(C)SC=C3C(=O)NC3=C2C=CC=C3)CC1,"4-methyl-2-[2-(4-methylpiperazin-1-yl)acetyl]-5-thia-2,9-diazatricyclo[8.4.0.0_,_]tetradeca-1(10),3,6,11,13-pentaen-8-one dihydrochloride",Telenzepine 2,443.4
62,CCN(CC1=CC=NC=C1)C(=O)C(CO)C1=CC=CC=C1,N-ethyl-3-hydroxy-2-phenyl-N-(pyridin-4-ylmethyl)propanamide,Tropicamide,284.4
63,[Br-].[Br-].[H][C@@]12C[C@@H]([C@H](OC(C)=O)[C@@]1(C)CC[C@@]1([H])[C@@]2([H])CC[C@@]2([H])C[C@H](OC(C)=O)[C@H](C[C@]12C)[N+]1(C)CCCCC1)[N+]1(C)CCCCC1,"1-[(1S,2S,4S,5S,7S,10R,11S,13S,14R,15S)-5,14-bis(acetyloxy)-2,15-dimethyl-13-(1-methylpiperidin-1-ium-1-yl)tetracyclo[8.7.0.0_,_.0__,__]heptadecan-4-yl]-1-methylpiperidin-1-ium dibromide",Pancuronium 2Br,732.7
64,[H][C@@]12OC\C3=C/C=C/[C@H](C)[C@H](O[C@H]4C[C@H](OC)[C@@H](O[C@H]5C[C@H](OC)[C@@H](O)[C@H](C)O5)[C@H](C)O4)\C(C)=C\C[C@@H]4C[C@@H](C[C@]5(CC[C@H](C)[C@]([H])(O5)[C@@H](C)CC)O4)OC(=O)[C@H](C=C(C)[C@H]1O)[C@@]23O,"(1'R,2R,4'S,5S,6R,8'R,10'E,12'S,13'S,14'E,16'E,20'R,21'R,24'S)-6-[(2S)-butan-2-yl]-21',24'-dihydroxy-12'-{[(2R,4S,5S,6S)-5-{[(2S,4S,5S,6S)-5-hydroxy-4-methoxy-6-methyloxan-2-yl]oxy}-4-methoxy-6-methyloxan-2-yl]oxy}-5,11',13',22'-tetramethyl-3',7',19'-trioxaspiro[oxane-2,6'-tetracyclo[15.6.1.1_,_.0__,__]pentacosane]-10',14',16',22'-tetraen-2'-one",Ivermectin,875.1
65,OS(O)(=O)=O.[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C.[H][C@]12N(C)CC[C@@]1(C)C1=C(C=CC(OC(=O)NC)=C1)N2C,"sulfuric acid bis((3aS,8aR)-1,3a,8-trimethyl-1H,2H,3H,3aH,8H,8aH-pyrrolo[2,3-b]indol-5-yl N-methylcarbamate)",Physostigmine sulfate,648.8
66,O=C(CCNNC(=O)C1=CC=NC=C1)NCC1=CC=CC=C1,N-benzyl-3-(pyridin-4-ylformohydrazido)propanamide,Nialamide,298.3
67,OC1(CCN(CCCC(=O)C2=CC=C(F)C=C2)CC1)C1=CC=C(Cl)C=C1,4-[4-(4-chlorophenyl)-4-hydroxypiperidin-1-yl]-1-(4-fluorophenyl)butan-1-one,Haloperidol ,375.9
68,Cl.Cl.C(N1CCN(CC1)C1=NC=CC=N1)C1=CC2=C(OCO2)C=C1,"2-[4-(2H-1,3-benzodioxol-5-ylmethyl)piperazin-1-yl]pyrimidine dihydrochloride",Piribedil 2,371.3
69,OC(=O)\C=C/C(O)=O.COC1=CC=C(CN(CCN(C)C)C2=NC=CC=C2)C=C1,(2Z)-but-2-enedioic acid; N-[2-(dimethylamino)ethyl]-N-[(4-methoxyphenyl)methyl]pyridin-2-amine,Mepyramine maleate,401.5
70,Cl.CC1=CC=C(C=C1)C(=C/CN1CCCC1)\C1=NC=CC=C1,2-[(1E)-1-(4-methylphenyl)-3-(pyrrolidin-1-yl)prop-1-en-1-yl]pyridine hydrochloride,Trans-triprolidine ,314.9
71,CN\C(NC#N)=N\CCSCC1=C(C)NC=N1,(Z)-1-cyano-3-methyl-2-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl}ethyl)guanidine,Cimetidine,252.3
72,CN\C(NCCSCC1=CSC(NC(N)=N)=N1)=N/C#N,"1-{4-[({2-[(E)-2-cyano-1-methylcarbamimidamido]ethyl}sulfanyl)methyl]-1,3-thiazol-2-yl}guanidine",Tiotidine,312.4
73,NS(=O)(=O)CC1=NOC2=CC=CC=C12,"1,2-benzoxazol-3-ylmethanesulfonamide",Zonisamide,212.2
74,OC(CN1C=CN=C1)(P(O)(O)=O)P(O)(O)=O,[1-hydroxy-2-(1H-imidazol-1-yl)-1-phosphonoethyl]phosphonic acid,Zoledronic acid,272.1
75,Cl.OC1=CC=C2C[C@H]3N(CC4CC4)CC[C@@]45[C@@H](OC1=C24)C(=O)CC[C@@]35O,"(1S,5R,13R,17S)-4-(cyclopropylmethyl)-10,17-dihydroxy-12-oxa-4-azapentacyclo[9.6.1.0_,__.0_,__.0_,__]octadeca-7,9,11(18)-trien-14-one hydrochloride",Naltrexone ,377.9
76,O.CN(C)CCC1=CNC2=CC=C(C[C@H]3COC(=C)N3)C=C12,"dimethyl[2-(5-{[(4S)-2-methylidene-1,3-oxazolidin-4-yl]methyl}-1H-indol-3-yl)ethyl]amine hydrate",Zolmitriptan,303.4
77,Cl.[H][C@]12C[C@]3(C)C[C@](C)(C1)C[C@](N)(C2)C3,"(1r,3R,5S,7r)-3,5-dimethyladamantan-1-amine hydrochloride",Memantine ,215.8
78,COC1=CC=C(C=C1)C(=O)N1CCCC1=O,1-(4-methoxybenzoyl)pyrrolidin-2-one,Aniracetam,219.2
79,Cl.NC1=NC2=C(S1)C=C(OC(F)(F)F)C=C2,"6-(trifluoromethoxy)-1,3-benzothiazol-2-amine hydrochloride",Riluzole ,270.7
80,CC(C)C1=CC=CC(C(C)C)=C1O,"2,6-bis(propan-2-yl)phenol",Propofol,178.3
81,Cl.CN1CCN2C(C1)C1=CC=CC=C1CC1=C2C=CC=C1,"5-methyl-2,5-diazatetracyclo[13.4.0.0_,_.0_,__]nonadeca-1(15),8,10,12,16,18-hexaene hydrochloride",Mianserin ,300.8
82,CN1C2=C(NC=N2)C(=O)N(C)C1=O,"1,3-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",Aminophylline,180.2
83,CN1C(=O)N(CC2=CC=CO2)C2=C(NC(C)=N2)C1=O,"3-(furan-2-ylmethyl)-1,8-dimethyl-2,3,6,7-tetrahydro-1H-purine-2,6-dione",Furafylline,260.2
84,CC(C)[C@H]1CC[C@@H](CC1)C(=O)N[C@H](CC1=CC=CC=C1)C(O)=O,"(2R)-3-phenyl-2-{[(1r,4r)-4-(propan-2-yl)cyclohexyl]formamido}propanoic acid",Nateglinide,317.4
85,CC(C)NCC(O)C1=CC=C(O)C(O)=C1,"4-{1-hydroxy-2-[(propan-2-yl)amino]ethyl}benzene-1,2-diol",DL-Isoproterenol,211.3
86,CC(=O)OCC[N+](C)(C)C,[2-(acetyloxy)ethyl]trimethylazanium,Acetylcholine ,146.2
87,[H][C@]12CC[C@]([H])(C[C@@H](C1)OC(=O)C(CO)C1=CC=CC=C1)N2C,"(1R,3R,5S)-8-methyl-8-azabicyclo[3.2.1]octan-3-yl 3-hydroxy-2-phenylpropanoate",Atropine ,289.4
88,C[N+](C)(C)CCCCCCCCCC[N+](C)(C)C,trimethyl[10-(trimethylazaniumyl)decyl]azanium,Decamethonium ,258.5
89,[H][C@@]12CC[C@@]([H])(C1)C(C)(NC)C2(C)C,"(1S,4R)-N,2,3,3-tetramethylbicyclo[2.2.1]heptan-2-amine",Mecamylamine ,167.3
90,CN(C)C(=O)OC1=CC(=CC=C1)[N+](C)(C)C,"3-[(dimethylcarbamoyl)oxy]-N,N,N-trimethylanilinium",Neostigmine ,223.3
91,Cl.[H][C@@]12N3C4=C(C=CC=C4)[C@@]11CCN4CC5=CCO[C@@]([H])(CC3=O)[C@]2([H])[C@@]5([H])C[C@@H]14,"(1R,11S,18S,20R,21R,22S)-12-oxa-8,17-diazaheptacyclo[15.5.2.0_,__.0_,_.0_,__.0__,__.0__,__]tetracosa-2(7),3,5,14-tetraen-9-one hydrochloride",Strychnine ,370.9
92,Cl.[Cl-].COC1=CC2=C3C=C1OC1=C(O)C=CC(C[C@@H]4C5=C(OC6=CC=C(C[C@@H]3N(C)CC2)C=C6)C(O)=C(OC)C=C5CC[N+]4(C)C)=C1,"(1S,16R)-9,21-dihydroxy-10,25-dimethoxy-15,15,30-trimethyl-7,23-dioxa-15,30-diazaheptacyclo[22.6.2.2_,_.1_,__.1__,__.0__,__.0__,__]hexatriaconta-3,5,8(34),9,11,18(33),19,21,24(32),25,27(31),35-dodecaen-15-ium chloride hydrochloride",(+)-Tubocuraraine chloride,681.6
93,Cl.[H][C@]12C[C@](O)(CCN1C[C@]1([H])C3=C(CCC4=C1C2=CC=C4)C=CC=C3)C(C)(C)C,"(1R,6R,8R)-6-tert-butyl-3-azapentacyclo[11.8.1.0_,_.0_,__.0__,__]docosa-9,11,13(22),16(21),17,19-hexaen-6-ol hydrochloride",(+)-Butaclamol ,398
94,Cl.[H][C@]12CC3=CC=C(O)C(O)=C3C3=CC=CC(CCN1C)=C23,"(9R)-10-methyl-10-azatetracyclo[7.7.1.0_,_.0__,__]heptadeca-1(16),2,4,6,13(17),14-hexaene-3,4-diol hydrochloride",(R)-(-)-Apomorphine ,303.8
95,Cl.CN(C)CCCN1C2=CC(Cl)=CC=C2SC2=C1C=CC=C2,[3-(2-chloro-10H-phenothiazin-10-yl)propyl]dimethylamine hydrochloride,Chlorpromazine ,355.3
96,ClC1=CC2=C(C=C1)N(C1CCN(CCCN3C(=O)NC4=C3C=CC=C4)CC1)C(=O)N2,"5-chloro-1-{1-[3-(2-oxo-2,3-dihydro-1H-1,3-benzodiazol-1-yl)propyl]piperidin-4-yl}-2,3-dihydro-1H-1,3-benzodiazol-2-one",Domperidone,425.9
97,Cl.Cl.OCCN1CCN(CCCN2C3=CC(=CC=C3SC3=C2C=CC=C3)C(F)(F)F)CC1,2-(4-{3-[2-(trifluoromethyl)-10H-phenothiazin-10-yl]propyl}piperazin-1-yl)ethan-1-ol dihydrochloride,Fluphenazine 2,510.4
98,CS(O)(=O)=O.[H][C@@]12CC3=CNC4=C3C(=CC=C4)[C@@]1([H])C[C@@H](CSC)CN2CCC,"(2R,4R,7R)-4-[(methylsulfanyl)methyl]-6-propyl-6,11-diazatetracyclo[7.6.1.0_,_.0__,__]hexadeca-1(15),9,12(16),13-tetraene; methanesulfonic acid",Pergolide mesylate,410.6
99,CCN1CCC[C@H]1CNC(=O)C1=C(OC)C(Cl)=CC(Cl)=C1O,"3,5-dichloro-N-{[(2S)-1-ethylpyrrolidin-2-yl]methyl}-2-hydroxy-6-methoxybenzamide",S(-)-Raclopride ,347.2
